CP014272.1	phage accession
NP_049839.1	0.420453
NP_049840.1	0.255267
NP_049841.1	0.390790
NP_049842.1	0.168513
NP_049843.1	0.363310
NP_049844.1	0.324937
NP_049845.1	0.462106
NP_049846.1	0.222304
NP_049847.1	0.364233
NP_049848.1	0.299926
NP_049849.3	0.287522
NP_049850.1	0.413264
NP_049851.1	0.384732
NP_049852.1	0.410947
NP_049853.1	0.341758
NP_049854.1	0.581286
NP_049855.1	0.251046
NP_049856.1	0.261138
NP_049857.1	0.298103
NP_049858.1	0.573218
NP_049859.1	0.440328
NP_049860.1	0.418612
NP_049861.1	0.150942
NP_049862.1	0.282369
NP_049863.1	0.399105
NP_049864.1	0.401096
NP_049865.1	0.130527
NP_049866.1	0.336429
NP_049867.1	0.222043
NP_049868.1	0.116114
NP_049869.1	0.160918
NP_049870.1	0.194763
NP_049871.1	0.464094
NP_049872.2	0.434967
NP_049873.1	0.536736
NP_049874.1	0.288976
NP_049875.1	0.573455
NP_049876.1	0.020080
NP_049877.1	0.013105
NP_049878.1	0.234178
NP_049879.1	0.352608
NP_049880.1	0.331473
NP_049881.1	-0.048206
NP_049882.1	0.226438
NP_049883.1	-0.181013
NP_049884.1	0.201209
NP_049885.1	0.211441
NP_049886.1	-0.160744
NP_049887.1	0.281840
NP_049888.1	0.343988
